subject,influence_rate,int_false_prime,int_true_prime,int_amp_effect,awareness,demand,influence_general,intentionality,politics,self_exclusion_1,self_exclusion_1other,unintentionality,trump_prime,obama_prime,std_amp_effect
804083820,0.125,0.5,0.6388888888888888,0.13888888888888884,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"Yes, use my data",,more than half,0.6666666666666666,0.8055555555555556,0.13888888888888895
806037224,0.7777777777777778,0.3055555555555556,0.8611111111111112,0.5555555555555556,most,My responses were genuinely based on whether I was influenced or not,most,about half,somewhat democratic,"Yes, use my data",,about half,0.16666666666666666,0.8333333333333334,0.6666666666666667
814418286,0.8194444444444444,0.2222222222222222,0.8888888888888888,0.6666666666666666,less than half,My responses were genuinely based on whether I was influenced or not,more than half,most,a little democratic,"Yes, use my data",,about half,0.05555555555555555,0.8888888888888888,0.8333333333333333
831875577,0.041666666666666664,0.8611111111111112,0.6944444444444444,-0.16666666666666674,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,somewhat democratic,"Yes, use my data",,about half,0.3611111111111111,0.8055555555555556,0.4444444444444445
833954947,0.3194444444444444,0.6388888888888888,0.6111111111111112,-0.02777777777777768,all,My responses were genuinely based on whether I was influenced or not,more than half,about half,very democratic,"Yes, use my data",,most,0.4444444444444444,0.7222222222222222,0.2777777777777778
834227260,0.16666666666666666,0.5,0.7777777777777778,0.2777777777777778,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,a little democratic,"Yes, use my data",,about half,0,0.9166666666666666,0.9166666666666666
838309898,0.1527777777777778,0.4722222222222222,0.6111111111111112,0.13888888888888895,all,My responses were genuinely based on whether I was influenced or not,less than half,none,a little democratic,"Yes, use my data",,less than half,0.5833333333333334,0.8333333333333334,0.25
839905453,0.20833333333333334,0.75,0.9166666666666666,0.16666666666666663,all,My responses were genuinely based on whether I was influenced or not,less than half,a few,very democratic,"No, exclude my data (please specify why):","I believe there was some kind of error, on all my questions I could only see the Chinese characters for like less than a second before the image switched to a blocky static image. I could only glimpse at the Chinese symbols for less than a second each. I still tried my best though. But I got a way better look at the before images than I did the Chiniese symbols. ",less than half,0.6944444444444444,0.7222222222222222,0.02777777777777779
842278169,0.3888888888888889,0.4444444444444444,0.6666666666666666,0.2222222222222222,all,My responses were genuinely based on whether I was influenced or not,about half,about half,very democratic,"Yes, use my data",,about half,0.6388888888888888,0.5555555555555556,-0.08333333333333326
845013425,0.027777777777777776,0.3611111111111111,0.3888888888888889,0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.4444444444444444,0.3055555555555556,-0.13888888888888884
855587217,0.19444444444444445,0.6111111111111112,0.7222222222222222,0.11111111111111105,all,My responses were genuinely based on whether I was influenced or not,a few,most,a little democratic,"Yes, use my data",,a few,0.7777777777777778,0.6944444444444444,-0.08333333333333337
855918927,0.08333333333333333,0.5277777777777778,0.5555555555555556,0.02777777777777779,all,My responses were genuinely based on whether I was influenced or not,a few,none,somewhat democratic,"Yes, use my data",,a few,0.3611111111111111,0.5833333333333334,0.22222222222222227
857925846,1,0.9444444444444444,0.4166666666666667,-0.5277777777777777,about half,My responses were genuinely based on whether I was influenced or not,about half,about half,somewhat democratic,"Yes, use my data",,most,0.8055555555555556,0.19444444444444445,-0.6111111111111112
861245923,0.2777777777777778,0.4444444444444444,0.6666666666666666,0.2222222222222222,all,My responses were genuinely based on whether I was influenced or not,about half,none,very democratic,"Yes, use my data",,most,0.5833333333333334,0.6111111111111112,0.02777777777777779
867743068,0,0.9444444444444444,1,0.05555555555555558,all,My responses were genuinely based on whether I was influenced or not,none,none,very democratic,"Yes, use my data",,none,NA,NA,NA
879040610,0.013888888888888888,0.5277777777777778,0.75,0.2222222222222222,all,My responses were genuinely based on whether I was influenced or not,less than half,more than half,very democratic,"Yes, use my data",,less than half,0.5833333333333334,0.6944444444444444,0.11111111111111105
880653715,0.2361111111111111,0.6944444444444444,0.8055555555555556,0.11111111111111116,all,I'm not sure or don't know why I responded the way I did,less than half,a few,a little democratic,"Yes, use my data",,about half,0.5555555555555556,0.3888888888888889,-0.16666666666666669
901737082,0.7222222222222222,0.1111111111111111,0.7222222222222222,0.6111111111111112,all,My responses were genuinely based on whether I was influenced or not,most,most,somewhat democratic,"Yes, use my data",,a few,0,0.027777777777777776,0.027777777777777776
901997576,0.19444444444444445,0.3333333333333333,0.4166666666666667,0.08333333333333337,all,My responses were genuinely based on whether I was influenced or not,about half,none,very democratic,"Yes, use my data",,about half,0.4166666666666667,0.6388888888888888,0.22222222222222215
907215497,0.9166666666666666,0.3611111111111111,0.8888888888888888,0.5277777777777777,all,My responses were genuinely based on whether I was influenced or not,all,all,very democratic,"Yes, use my data",,all,0.027777777777777776,0.9444444444444444,0.9166666666666666
908843444,0.1111111111111111,0.5277777777777778,0.7222222222222222,0.19444444444444442,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,less than half,0.75,0.75,0
926764296,0.06944444444444445,0.5555555555555556,0.6666666666666666,0.11111111111111105,all,My responses were genuinely based on whether I was influenced or not,a few,none,very democratic,"Yes, use my data",,a few,0.5,0.4722222222222222,-0.02777777777777779
932465236,0.4861111111111111,0.5,0.8333333333333334,0.33333333333333337,about half,I'm not sure or don't know why I responded the way I did,less than half,a few,very democratic,"Yes, use my data",,less than half,0.6944444444444444,0.7777777777777778,0.08333333333333337
934806219,0.5138888888888888,0.05555555555555555,0.5277777777777778,0.4722222222222222,all,My responses were genuinely based on whether I was influenced or not,more than half,less than half,very democratic,"Yes, use my data",,about half,0,1,1
942233025,0.3888888888888889,0.5,0.9166666666666666,0.41666666666666663,all,My responses were genuinely based on whether I was influenced or not,about half,none,a little democratic,"Yes, use my data",,about half,0.5277777777777778,0.8055555555555556,0.2777777777777778
943889616,1,0.08333333333333333,1,0.9166666666666666,all,My responses were genuinely based on whether I was influenced or not,all,none,very democratic,"Yes, use my data",,all,0.027777777777777776,1,0.9722222222222222
946443588,0.9027777777777778,0.2222222222222222,0.8888888888888888,0.6666666666666666,all,My responses were genuinely based on whether I was influenced or not,most,none,very democratic,"Yes, use my data",,most,0.08333333333333333,0.9166666666666666,0.8333333333333333
953519607,0.2222222222222222,0.6388888888888888,0.6111111111111112,-0.02777777777777768,all,I'm not sure or don't know why I responded the way I did,less than half,a few,a little democratic,"Yes, use my data",,a few,0.5277777777777778,0.5833333333333334,0.05555555555555558
956349113,1,0.027777777777777776,0.8333333333333334,0.8055555555555556,all,My responses were genuinely based on whether I was influenced or not,all,most,somewhat democratic,"Yes, use my data",,all,0,0.9722222222222222,0.9722222222222222
969236051,0.8472222222222222,0.05555555555555555,0.6388888888888888,0.5833333333333333,all,My responses were genuinely based on whether I was influenced or not,all,more than half,somewhat democratic,"Yes, use my data",,all,0.027777777777777776,0.9722222222222222,0.9444444444444444
989770382,1,0,1,1,about half,My responses were genuinely based on whether I was influenced or not,all,all,somewhat democratic,"Yes, use my data",,most,0.027777777777777776,1,0.9722222222222222
