subject,age,gender,AMP_effect_obama_trump,IA_AMP_effect_positive_negative,IA_AMP_uninfluenced_effect_positive_negative,influence_rate,awareness,demand,influence_general,intentionality,politics,self_exclusion_1,self_exclusion_1other,unintentionality,party,complete_data
901997576,23,Female,-0.22,-0.08,0.1,0.19,7,My responses were genuinely based on whether I was influenced or not,4,1,very democratic,"Yes, use my data",,4,democrat,TRUE
907215497,24,female,-0.92,-0.53,0.25,0.92,7,My responses were genuinely based on whether I was influenced or not,7,7,very democratic,"Yes, use my data",,7,democrat,TRUE
908843444,25,female,0,-0.19,-0.09,0.11,7,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,3,democrat,TRUE
913008240,28,MALE,0.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
926764296,22,Female,0.03,-0.11,-0.05,0.07,7,My responses were genuinely based on whether I was influenced or not,2,1,very democratic,"Yes, use my data",,2,democrat,TRUE
932465236,19,female,-0.08,-0.33,0.25,0.49,4,I'm not sure or don't know why I responded the way I did,3,2,very democratic,"Yes, use my data",,3,democrat,TRUE
934806219,52,female,-1,-0.47,-0.17,0.51,7,My responses were genuinely based on whether I was influenced or not,5,3,very democratic,"Yes, use my data",,4,democrat,TRUE
937843455,25,female,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,neither/moderate,FALSE
942233025,22,Male,-0.28,-0.42,-0.36,0.39,7,My responses were genuinely based on whether I was influenced or not,4,1,a little democratic,"Yes, use my data",,4,democrat,TRUE
943889616,26,female,-0.97,-0.92,NA,1,7,My responses were genuinely based on whether I was influenced or not,7,1,very democratic,"Yes, use my data",,7,democrat,FALSE
946443588,29,Female,-0.83,-0.67,-1,0.9,7,My responses were genuinely based on whether I was influenced or not,6,1,very democratic,"Yes, use my data",,6,democrat,TRUE
953519607,33,Male,-0.06,0.03,0.13,0.22,7,I'm not sure or don't know why I responded the way I did,3,2,a little democratic,"Yes, use my data",,2,democrat,TRUE
956349113,35,Female,-0.97,-0.81,NA,1,7,My responses were genuinely based on whether I was influenced or not,7,6,somewhat democratic,"Yes, use my data",,7,democrat,FALSE
969236051,25,Genderfluid,-0.94,-0.58,0.04,0.85,7,My responses were genuinely based on whether I was influenced or not,7,5,somewhat democratic,"Yes, use my data",,7,democrat,TRUE
989770382,30,Male,-0.97,-1,NA,1,4,My responses were genuinely based on whether I was influenced or not,7,7,somewhat democratic,"Yes, use my data",,6,democrat,FALSE
995276234,18,Male,-0.03,-0.03,-0.02,0.01,7,My responses were genuinely based on whether I was influenced or not,2,1,neither/moderate,"Yes, use my data",,2,neither/moderate,TRUE
495296757,NA,NA,-0.11,0.19,0.19,0,7,My responses were genuinely based on whether I was influenced or not,1,1,very democratic,"Yes, use my data",,1,democrat,FALSE
878076912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,neither/moderate,NA,NA,NA,neither/moderate,FALSE
