subject,age,gender,IA_AMP_effect_obama_trump,IA_AMP_effect_obama_trump_influenced,IA_AMP_effect_obama_trump_uninfluenced,influence_rate_obama_trump,IA_AMP_effect_positive_negative,influence_rate_positive_negative,influence_rate_positive_negative_10,influence_rate_positive_negative_10,awareness,demand_pn,demand_to,influence_general_pn,influence_general_to,intentionality_pn,intentionality_to,politics,self_exclusion_1,self_exclusion_1other,unintentionality_pn,unintentionality_to,party,complete_data
135018023,30,male,-0.92,-0.94,-0.83,0.85,0.61,1,1,high,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,5,5,somewhat democratic,"Yes, use my data",,6,6,democrat,TRUE
146903677,39,male,-0.94,-0.92,-0.96,0.36,0.64,0,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,5,2,2,very democratic,"Yes, use my data",,6,6,democrat,TRUE
160194908,33,female,-0.97,-0.97,NA,1,0.72,1,1,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,2,2,somewhat democratic,"Yes, use my data",,7,7,democrat,TRUE
173572528,29,Male,-0.17,NA,-0.17,0,0.19,0.03,0,low,7,I'm not sure or don't know why I responded the way I did,I'm not sure or don't know why I responded the way I did,2,1,1,1,somewhat democratic,"Yes, use my data",,2,1,democrat,TRUE
182244905,18,Female,-0.19,-1,-0.07,0.14,0.03,0.03,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,2,2,somewhat democratic,"Yes, use my data",,4,5,democrat,TRUE
189117514,20,female,-0.06,NA,-0.06,0,0.08,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,3,4,6,very democratic,"Yes, use my data",,4,3,democrat,TRUE
202280389,29,female,0.06,0,0.06,0.08,0.03,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,4,2,2,very democratic,"Yes, use my data",,4,3,democrat,TRUE
202833004,21,Male,-0.06,NA,-0.06,0,0.06,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very democratic,"Yes, use my data",,2,1,democrat,TRUE
213703054,36,Female,-0.25,NA,-0.25,0,0.17,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,1,1,very democratic,"Yes, use my data",,2,1,democrat,TRUE
221411376,30,female,0,NA,0,0,0.17,0.01,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,somewhat democratic,"Yes, use my data",,2,2,democrat,TRUE
222407816,30,female,-0.14,NA,-0.07,0.04,0.17,0.08,0,low,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,very democratic,"Yes, use my data",,2,2,democrat,TRUE
247371384,22,female,-0.08,-0.67,0.11,0.25,0,0.18,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,4,2,2,somewhat democratic,"Yes, use my data",,2,3,democrat,TRUE
262492060,38,female,-0.92,-0.97,-0.42,0.9,0.64,0.76,0.7,high,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,6,2,2,very democratic,"Yes, use my data",,1,1,democrat,TRUE
266294809,37,female,-0.03,-1,0.17,0.12,0.03,0.11,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,2,2,very democratic,"Yes, use my data",,2,2,democrat,TRUE
269210633,41,Female,-1,NA,-1,0,0.75,0.07,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,6,1,a little democratic,"Yes, use my data",,6,7,democrat,TRUE
270026338,42,Male,-0.89,-1,-0.48,0.76,0.64,1,1,high,6,My responses were based on what I thought the researcher wanted me to say,My responses were based on what I thought the researcher wanted me to say,6,6,6,6,very democratic,"Yes, use my data",,6,6,democrat,TRUE
270612844,22,Male,-0.28,-1,-0.07,0.24,0.31,0.38,0.3,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,4,2,2,somewhat democratic,"Yes, use my data",,5,4,democrat,TRUE
277709542,41,Female,-1,NA,-1,0,0.89,0.06,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,1,1,somewhat democratic,"Yes, use my data",,7,7,democrat,TRUE
285007326,31,Female,0,NA,0,0,0.31,0.12,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,6,7,very democratic,"Yes, use my data",,2,1,democrat,TRUE
290861396,26,male,-0.89,-1,0,0.83,0.42,0.36,0.3,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,6,2,2,very democratic,"Yes, use my data",,4,6,democrat,TRUE
297978615,30,female,-0.14,NA,-0.14,0,0.19,0,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very democratic,"Yes, use my data",,1,2,democrat,TRUE
309129355,26,26,-0.69,-0.8,-0.07,0.85,0.78,0.93,0.9,high,7,My responses were genuinely based on whether I was influenced or not,I'm not sure or don't know why I responded the way I did,6,6,3,2,very democratic,"Yes, use my data",,6,6,democrat,TRUE
319942253,55,female,-0.03,-1,0.19,0.18,0.17,0.12,0.1,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,3,2,a little democratic,"Yes, use my data",,2,3,democrat,TRUE
336044289,28,Female,-0.97,-0.97,NA,1,0.72,1,1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,7,7,7,very democratic,"Yes, use my data",,6,7,democrat,TRUE
338213294,27,female,-0.28,NA,-0.24,0.04,0.11,0.03,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,1,2,very democratic,"Yes, use my data",,3,3,democrat,TRUE
361805861,34,female,-0.17,-0.86,-0.06,0.15,0.19,0.39,0.3,high,3,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,3,3,a little democratic,"Yes, use my data",,2,2,democrat,TRUE
362224917,21,Male,0,-1,0.08,0.07,0.06,0.18,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,2,2,somewhat democratic,"Yes, use my data",,4,2,democrat,TRUE
366051534,42,f,-0.19,-1,0.41,0.38,0.61,0.71,0.7,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,3,6,3,very democratic,"Yes, use my data",,6,5,democrat,TRUE
368391615,39,male,0.06,NA,0.06,0,0.06,0,0,low,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little democratic,"Yes, use my data",,2,1,democrat,TRUE
373066428,21,female,-0.28,-1,0.17,0.38,0,0.26,0.2,high,6,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,6,1,1,somewhat democratic,"Yes, use my data",,3,4,democrat,TRUE
374851831,32,male,-1,-1,NA,1,0.64,1,1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,1,1,very democratic,"Yes, use my data",,1,1,democrat,TRUE
382040549,57,female,0.06,NA,0.06,0,0,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little democratic,"Yes, use my data",,7,7,democrat,TRUE
387613597,25,Male,0.08,NA,0.08,0,0.11,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,a little democratic,"Yes, use my data",,1,1,democrat,TRUE
388717284,33,male,-1,-1,NA,1,0.86,1,1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,7,6,7,very democratic,"Yes, use my data",,6,7,democrat,TRUE
388899760,19,female,-0.06,NA,-0.06,0,0.11,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat democratic,"Yes, use my data",,2,2,democrat,TRUE
401924849,31,Male,-0.44,-1,0.47,0.58,0.33,0.61,0.6,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,4,6,6,somewhat democratic,"Yes, use my data",,3,4,democrat,TRUE
422597787,24,Female,-0.28,-1,0.18,0.35,0.14,0.15,0.1,high,7,My responses were genuinely based on whether I was influenced or not,I'm not sure or don't know why I responded the way I did,2,3,2,2,somewhat democratic,"Yes, use my data",,2,3,democrat,TRUE
428696104,26,male,0.03,0.22,0,0.18,0.11,0.08,0,low,3,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,3,2,a little democratic,"Yes, use my data",,2,2,democrat,TRUE
432260325,32,female,0.03,NA,0.03,0,0,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very democratic,"Yes, use my data",,1,1,democrat,TRUE
448076782,28,Female,-0.17,-1,-0.11,0.06,0.53,0.07,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,somewhat democratic,"Yes, use my data",,3,3,democrat,TRUE
450678103,18,Female,-0.08,-0.11,1,0.97,0.25,1,1,high,7,My responses were based on what I thought the researcher wanted me to say,My responses were based on what I thought the researcher wanted me to say,1,1,1,1,a little democratic,"Yes, use my data",,3,2,democrat,TRUE
454051982,27,Male,-0.94,-0.94,NA,1,1,0.99,0.9,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,7,7,a little democratic,"Yes, use my data",,7,7,democrat,TRUE
464439543,23,Male,-0.22,-1,0.19,0.31,0.19,0.35,0.3,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,5,4,2,2,somewhat democratic,"Yes, use my data",,5,4,democrat,TRUE
469316046,26,agender,-0.94,-1,0.5,0.96,0.92,0.96,0.9,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,6,6,6,very democratic,"Yes, use my data",,6,6,democrat,TRUE
470773296,28,female,-0.67,-0.81,-0.23,0.78,0.89,0.69,0.6,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,5,4,5,somewhat democratic,"Yes, use my data",,5,5,democrat,TRUE
473311049,26,Male,-0.78,-0.88,0.25,0.92,0.83,0.85,0.8,high,1,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,7,7,a little democratic,"Yes, use my data",,4,4,democrat,TRUE
481863384,21,Male,-0.89,-0.92,NA,0.97,0.92,0.99,0.9,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,7,7,somewhat democratic,"Yes, use my data",,7,7,democrat,TRUE
484334206,26,Male,-0.5,-0.44,-0.56,0.44,0.36,0.38,0.3,high,2,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,4,2,4,somewhat democratic,"Yes, use my data",,4,3,democrat,TRUE
497458263,29,male,-0.25,NA,-0.25,0,0.08,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,2,1,1,somewhat democratic,"Yes, use my data",,1,2,democrat,TRUE
522693926,56,female,-1,-1,NA,1,0.83,1,1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,7,7,somewhat democratic,"Yes, use my data",,7,7,democrat,TRUE
532340149,22,male,0.08,NA,0.08,0,0.25,0.03,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,2,2,very democratic,"Yes, use my data",,1,1,democrat,TRUE
537794402,61,female,-0.72,-1,-0.45,0.4,0.14,0.14,0.1,high,7,I'm not sure or don't know why I responded the way I did,I'm not sure or don't know why I responded the way I did,3,5,6,3,very democratic,"Yes, use my data",,2,5,democrat,TRUE
542557941,47,male,0.06,NA,0.06,0,0.08,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very democratic,"Yes, use my data",,1,1,democrat,TRUE
546686226,32,female,-0.08,NA,-0.03,0.04,0.19,0.1,0.1,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,3,3,3,very democratic,"Yes, use my data",,2,2,democrat,TRUE
563686524,29,Male,-0.31,-1,-0.22,0.08,0.28,0.03,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,3,1,1,somewhat democratic,"Yes, use my data",,3,3,democrat,TRUE
564616694,33,male,-0.83,-0.79,-1,0.75,0.03,0.92,0.9,high,5,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,4,4,4,a little democratic,"Yes, use my data",,4,4,democrat,TRUE
572183112,34,male,-0.14,NA,-0.14,0,0.03,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat democratic,"Yes, use my data",,1,1,democrat,TRUE
601538785,20,Male,-0.06,-1,-0.03,0.03,0.06,0.04,0,low,4,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,2,2,a little democratic,"Yes, use my data",,2,3,democrat,TRUE
619766994,28,male,-0.58,-1,-0.52,0.14,0.36,0.32,0.3,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,3,5,2,very democratic,"Yes, use my data",,4,3,democrat,TRUE
642742190,20,Male,-0.14,-0.8,0.09,0.26,0.53,0.83,0.8,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,5,2,2,somewhat democratic,"Yes, use my data",,3,2,democrat,TRUE
649148901,57,Female,0,NA,0,0,0,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat democratic,"Yes, use my data",,1,1,democrat,TRUE
704596294,30,male,-0.53,-0.56,-0.35,0.88,0.14,0.65,0.6,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,7,3,7,a little democratic,"Yes, use my data",,3,7,democrat,TRUE
705533846,24,trans male,-0.14,-0.67,-0.02,0.12,0.03,0.07,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,1,1,very democratic,"Yes, use my data",,2,3,democrat,TRUE
714006972,23,female,-0.08,-0.5,-0.06,0.06,0.03,0.12,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,2,1,1,a little democratic,"Yes, use my data",,3,2,democrat,TRUE
739487200,36,Male,-0.19,-1,0,0.12,0.06,0.12,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,very democratic,"Yes, use my data",,2,2,democrat,TRUE
754206392,44,female,-0.42,-0.89,-0.18,0.36,0.31,0.42,0.4,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,5,1,1,somewhat democratic,"Yes, use my data",,5,5,democrat,TRUE
757389099,50,Male,-0.14,NA,-0.14,0,0.06,0.03,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,1,1,1,somewhat democratic,"Yes, use my data",,2,1,democrat,TRUE
764497494,29,Male,-0.28,NA,-0.28,0,0.11,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,2,1,1,very democratic,"Yes, use my data",,2,2,democrat,TRUE
766915573,22,Female,-0.08,NA,0.07,0.1,0.06,0.07,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,2,2,somewhat democratic,"Yes, use my data",,2,3,democrat,TRUE
798531147,27,male,-0.56,-1,-0.43,0.19,0.58,0.12,0.1,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,3,1,1,somewhat democratic,"Yes, use my data",,2,2,democrat,TRUE
815051225,19,female,-0.14,-0.91,-0.04,0.17,0.14,0.08,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,2,2,somewhat democratic,"Yes, use my data",,2,2,democrat,TRUE
816837326,27,Female,0.08,NA,0.08,0,0.11,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat democratic,"Yes, use my data",,1,1,democrat,TRUE
819729254,33,female,-1,NA,-1,0,0.89,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,7,7,somewhat democratic,"Yes, use my data",,7,7,democrat,TRUE
830596810,48,male,-1,NA,-1,0,0.42,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat democratic,"Yes, use my data",,1,1,democrat,TRUE
840944689,61,Female,-0.78,-1,-0.33,0.67,0.78,1,1,high,7,My responses were genuinely based on whether I was influenced or not,I'm not sure or don't know why I responded the way I did,7,5,7,5,very democratic,"Yes, use my data",,7,7,democrat,TRUE
852740093,24,female,-0.17,-1,-0.03,0.14,0.03,0.11,0.1,high,7,I'm not sure or don't know why I responded the way I did,I'm not sure or don't know why I responded the way I did,3,3,2,2,very democratic,"Yes, use my data",,6,7,democrat,TRUE
855136432,24,male,-0.33,NA,-0.32,0.01,0.11,0.06,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,7,7,2,2,somewhat democratic,"Yes, use my data",,2,2,democrat,TRUE
857747596,37,female,-0.25,-0.67,-0.23,0.07,0.03,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,4,1,1,very democratic,"Yes, use my data",,1,2,democrat,TRUE
858515813,23,female,-0.08,-1,0.05,0.12,0.28,0.29,0.2,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,3,2,2,a little democratic,"Yes, use my data",,2,3,democrat,TRUE
860827723,31,Male,-0.14,NA,-0.12,0.01,0.06,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,2,1,1,very democratic,"Yes, use my data",,2,2,democrat,TRUE
890019872,59,female,-0.14,NA,-0.14,0,0.17,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,somewhat democratic,"Yes, use my data",,3,3,democrat,TRUE
894216751,31,female,-0.83,-0.94,1,0.94,0.5,1,1,high,2,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,3,4,5,5,somewhat democratic,"Yes, use my data",,4,4,democrat,TRUE
911020428,36,male,-0.19,NA,-0.19,0,0,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,1,1,1,1,very democratic,"Yes, use my data",,1,1,democrat,TRUE
948338657,28,female,-0.22,NA,-0.21,0.01,0.03,0,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,2,2,1,1,very democratic,"Yes, use my data",,2,2,democrat,TRUE
955409388,23,Female,-0.03,-1,0.05,0.07,0.03,0.21,0.2,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,2,4,2,very democratic,"Yes, use my data",,3,4,democrat,TRUE
955596441,26,Female,-0.03,-0.5,0.03,0.11,0.08,0.04,0,low,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,4,5,4,4,very democratic,"Yes, use my data",,4,5,democrat,TRUE
980623265,38,female,-0.28,-0.93,0.18,0.4,0.53,0.43,0.4,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,5,4,3,very democratic,"Yes, use my data",,5,5,democrat,TRUE
993255517,58,female,-0.97,-0.97,NA,1,0.81,0.74,0.7,high,7,My responses were genuinely based on whether I was influenced or not,My responses were genuinely based on whether I was influenced or not,6,7,6,7,a little democratic,"Yes, use my data",,2,1,democrat,TRUE
